target_l1,test_count,l1_missing_rate,hit10,bucket_size,bucket_purity,bucket_top_family,test_families,top_pred1_l1_when_missing
<a_73>,13,0.46153846153846156,0.07692307692307693,25,0.8,other,other:10; fastener:2; 3d_filament:1,<a_160>:2; <a_21>:1; <a_12>:1; <a_130>:1; <a_187>:1
<a_99>,18,0.4444444444444444,0.3888888888888889,21,0.47619047619047616,other,other:10; ventilation_fan:6; gauge_meter:2,<a_172>:1; <a_21>:1; <a_25>:1; <a_192>:1; <a_77>:1
<a_168>,350,0.4257142857142857,0.18,67,0.8059701492537313,3d_filament,3d_filament:325; other:25,<a_142>:49; <a_165>:25; <a_123>:22; <a_209>:7; <a_223>:5
<a_122>,73,0.4246575342465754,0.273972602739726,26,1.0,tape,tape:73,<a_81>:3; <a_254>:3; <a_160>:3; <a_143>:1; <a_153>:1
<a_209>,63,0.4126984126984127,0.2857142857142857,36,1.0,3d_filament,3d_filament:63,<a_165>:4; <a_123>:4; <a_142>:2; <a_101>:2; <a_170>:1
<a_165>,207,0.34782608695652173,0.23671497584541062,58,0.9655172413793104,3d_filament,3d_filament:206; other:1,<a_142>:27; <a_123>:7; <a_209>:7; <a_168>:5; <a_223>:3
<a_123>,94,0.23404255319148937,0.1595744680851064,27,0.6666666666666666,3d_filament,3d_filament:69; other:25,<a_142>:9; <a_165>:4; <a_209>:1; <a_227>:1; <a_200>:1
<a_19>,29,0.2068965517241379,0.7241379310344828,24,0.5416666666666666,gauge_meter,gauge_meter:22; other:7,<a_160>:1; <a_146>:1; <a_196>:1; <a_100>:1; <a_132>:1
<a_142>,219,0.20547945205479456,0.2876712328767123,77,0.987012987012987,3d_filament,3d_filament:218; other:1,<a_165>:9; <a_170>:5; <a_239>:3; <a_140>:2; <a_106>:2
<a_160>,213,0.11267605633802813,0.8591549295774648,14,0.6428571428571429,other,gauge_meter:206; other:7,<a_140>:3; <a_99>:2; <a_81>:2; <a_168>:2; <a_236>:2
